Text,Labels
Cafetaria,16
Building floors,12
Contact us,5
maximum students intake,27
Telephone number,5
Product comparison assistance,50
Product benefits explanation,53
who created you,2
Return procedure query,42
Track my parcel online,57
Return eligibility criteria,42
Campus directions,8
Course information,6
Application checklist,11
Tracking package location clarification,57
What's on the IT schedule,13
Fixing technical errors,48
Activities list,10
max number of students,27
is there any canteen,16
Promotional discounts,43
How do I manage my account?,49
Product testing standards,56
Conferences,10
what documents do i need,11
Order cancellation steps,51
hostel facility,9
Device compatibility specs assistance,56
whatv is the principal name,22
Billing cycle information needed,54
Technical specifications inquiry help,53
Return policy clarification,52
Technical support contact,48
hostel address,9
sports facilities,33
What are the shipping costs?,47
Product comparison advice,50
fees for non-AC room,7
Personal information update,49
Does college provide hostel,9
principal name,22
Grants and scholarships,7
Thanks,34
How to find college,8
what is the fees of each year,7
Error processing payment,39
Profile settings modification,49
What events are conducted in college,10
Sharing customer experience,55
Location of the campus,8
Areas of study,6
Return window duration,52
Computer engineering?,6
??? ??? ??,0
hostel college distance,9
Feedback implementation process,55
What is next lecture,13
Managing subscription settings,49
college number,5
when are you guys open,4
Payment error,39
Hardware specifications overview,56
uniform,28
companies,18
courses offered in (your univrsity(UNI) name),6
where can i get books,14
What facilities college provide,26
Guide for fixing technical errors,48
facilities provided,26
Place a call,5
scholarship mechanical,25
Payment confirmation status,54
why i should use you,35
seats,27
branches?,6
when is the holidays,32
number of seats in each branch,27
Card payment issue,39
Initiating a product return,52
Product specifications inquiry,53
Subscription billing queries,54
IT class agenda,13
developers,2
Campus location,8
Entry requirements,11
Subscription deactivation steps,46
Modifying shipping address,51
Academic disciplines,6
what is the hostel fee,9
what are the courses in UNI?,6
Ending subscription,46
floors,12
Can I buy this item now?,41
Number of stories,12
how much is the fees,7
what is the Information Technology syllabus,13
IT lesson content,13
Product feature comparison guidance,50
what is the name of the developers,2
Estimated delivery date,40
College facility,26
Support for software glitches,48
college fee,7
What majors are available?,6
Community events,10
Tuition fees,7
Subscription termination request,46
thanks for the help,34
see you,1
Help with updating account details,49
exam dates,23
Educational events,10
what about uniform,28
Subscription renewal cancellation,46
mechanical scholarship,25
information about fee,7
Software glitch assistance,48
courses you offer,6
Will you marry me,30
branches available in UNI?,6
Is scholarship available,25
Software troubleshooting steps,48
how to contact college,5
Account activation process,49
Product recommendation algorithm,50
Changing account details,49
Modifying delivery date support,51
Educational programs,6
Room charges,7
bye bye,1
fees for Ac room for boys,7
canteen,16
how much is the fees,7
Shipping cost calculation,47
courses available at UNI?,6
Technical specifications accuracy guidance,56
Device compatibility specs,56
Shipment tracking details,57
What is the process for admission,24
Refund process for returns assistance,52
how can I reach college,8
hours of operation,4
Workshops and seminars,10
Hostel fee details,7
Contact number?,5
hostel fees,9
List of majors,6
College building height,12
Product reviews and ratings,53
Lesson plan for IT,13
Changing payment method guidance,51
Technical specifications accuracy,56
What's your phone number?,5
Getting to the institution,8
Discount code redemption,43
scholarship for computer engineering,25
Feedback collection mechanism,55
Delivery status notification,57
Payment receipt retrieval,54
list of holidays,32
How do I reach you by phone?,5
Has my order been dispatched yet?,38
Event updates,10
k,34
When is holidays,32
Where is hostel,9
Campus structure,12
scholarship it,25
Product review and comparison,44
do we have to wear uniform,28
Technical details inquiry,56
Event announcements,10
what can u do for me,35
Courses for undergraduates,6
Modifying order delivery date,51
Who is college principal,22
Comparison between products,44
documents needed at the time of admission,11
creators,2
when will semester end,32
Product discovery guide,50
Refund duration,45
Software problem resolution,48
Order revision assistance,51
okk,34
Order customization assistance,51
Bye,1
What will I study in IT,13
tell me about events,10
working days,4
Assistance for technical problems,48
sports and games,33
How do I track my order?,57
what is the name of your creators,2
Holiday in these year,32
Editing order specifications assistance,51
Product performance specs,56
courses offered,6
"Hey, what's new?",0
Comparing product performance,44
you are made by whom,2
What is your return policy?,42
Reviewing payment history guidance,54
name of extc hod,21
What is the fees of hostel,7
scholarship,25
Product feature comparison,44
ragging history,36
Shipping fee breakdown,47
Phone number,5
Refund processing time,45
college dress code,28
give sports details,33
In-depth product comparison,44
Technical issue resolution steps,48
Curriculum details,6
what are the courses offered in your college?,6
How long does the refund process take?,45
Which companies visit in college,18
Order tracking assistance needed,57
exam timetable,23
third year scholarship,25
Requesting return label assistance,52
"Hey, long time no see!",0
See you later,1
Programs and events,10
i got to go,1
Shipping charges,47
Hi,0
what is the college  hours,4
Availability of product,41
Availability check for product,41
When is vacation,32
exam dates,23
shut up,31
comps scholarship,25
Order status update,38
Can you compare Product A and Product B?,44
list of courses offered in,6
Essential paperwork,11
what is the process of admission,24
what is the name of your developers,2
Can you explain the steps for getting a refund?,45
Promotional discounts query,43
Performance benchmarking data,56
your creators,2
Goodbye,1
Do you have any discounts or offers?,43
floors in college,12
Tuition expenses,7
where is college,8
Entrance documents,11
Billing errors resolution support,54
about holidays,32
Product variants comparison,53
Payment failure,39
Feedback form access,55
Registration documents,11
distance between hostel and college,9
Detailed technical features explanation,56
Customized product suggestions,50
Are there any event held at college,10
Feedback collection mechanism assistance,55
Unsubscribing from services,46
Subscription billing queries assistance,54
Necessary documents,11
documents required at the time of admission,11
Delivery time estimation,40
book facility,14
Delivery cost query,47
Cultural events,10
Product usage instructions,53
Payment problem,39
Return authorization process,52
College contact,5
tell something about college timing,4
Reach the institution,8
syllabus,13
Product comparison,44
Whats there on menu,17
Amending shipping address support,51
when will semester starts,32
Do you love me,30
When can I expect my package?,38
your name,3
how is college infrastructure,15
documents needed,11
fees for Ac room for girls,7
Financial aid,7
How can I get technical support?,48
Is this product currently in stock?,41
Way to the college,8
admission,24
Invoice generation process,54
Customer satisfaction survey,55
Finding suitable products,50
Changing order details,51
Smart product recommendations,50
What document are required for admission,11
Refund request process,45
what are branches in UNI?,6
Shipping price clarification,47
Technical specifications query,53
cya,1
Changing payment method for an order,51
Account settings modification,49
Event information,10
things you can do,35
how big is the hostel,9
Food,16
Estimated delivery time tracking,57
wheres the college,8
Password reset process,49
how can i call you,5
what foods can we get in college canteen,17
Accommodation costs,7
When will my order be delivered?,40
Tracking order progress,57
Smart product suggestions,50
first year scholarship,25
Return shipping cost coverage details,52
Can you provide details on shipping charges?,47
Have a Good day,1
Locating the institution,8
location,8
hostel,9
Yearly fees,7
canteen facility,16
is college open on saturday,4
In-stock product inquiry,41
sports infrastructure,33
Order tracking number retrieval,57
Comparing product specifications,44
Refund eligibility criteria,45
Where is the campus?,8
College coordinates,8
recruitment,18
Special occasions,10
Modifying order details help,51
Resolving technical issues,48
IT module details,13
stupid,31
Subscription termination,46
Availability of selected product,41
Order revision procedure,51
ragging juniors,36
Order arrival schedule,40
Floor count,12
Refund procedure,45
How do I call the college?,5
can you tell me the courses available in UNI?,6
Managing user profile,49
antiragging facility,36
Real-time order tracking,57
hostel facilities,9
Do you offer any discounts on bulk orders?,43
how are ya,0
Shipping fee information,47
what is available in college canteen,17
Customer feedback importance,55
ok,34
Account recovery procedure,49
Tailored product picks needed,50
timing of college,4
about vacations,32
when is semester,23
what is college timing,4
your developers,2
Change order information guidance,51
Refund status update,45
what is the fee of each semester,7
Cost of shipping,47
Product benefits explanation required,53
okay,34
Account login issues,49
food menu,17
Providing feedback assistance,55
Can you provide an estimated delivery date?,40
Hey!,0
Suggestions and feedback submission,55
Refund timeline,45
sem,23
Celebrations,10
Course list,6
Subscription cancellation process,46
Payment declined,39
placement,18
Billing cycle information,54
Delivery fees,47
fourth year scholarship,25
Refund initiation steps,45
Recommended items for me,50
I am Leaving,1
I'm experiencing issues with my payment method.,39
college telephone number,5
Information Technology subjects,13
it,6
How are you?,0
Troubleshooting help,48
"Hey, how have you been?",0
ttyl,1
